ID_ATIV_ECON_ESTABELECIMENTO,CNAE_PRINCIPAL,DATA_INICIO_ATIVIDADE,IND_POSSUI_ALVARA,ENDERECO_COMPLETO,NOME,NOME_FANTASIA
338872,5611201.0,10-03-2022,NÃO,"Rua NAIR TELES DOS SANTOS, 17, CASTANHEIRA, Belo Horizonte, MG, Brasil",GISLENE ALESSANDRA ANDRADE 07547363695,BELO SABOR
339503,5611201.0,15-03-2022,SIM,"Avenida PROFESSOR MARIO WERNECK, 2220, BURITIS, Belo Horizonte, MG, Brasil",GR-FOOD BURITIS EMPREENDIMENTOS LTDA,FORMULA PIZZARIA
336024,5611201.0,18-02-2022,SIM,"Rua SAO PAULO, 957, CENTRO, Belo Horizonte, MG, Brasil",PARRILLA CIDADE LTDA,Estabelecimento sem nome
336654,5611201.0,22-02-2022,SIM,"Rua LEVINDO LOPES, 158, SAVASSI, Belo Horizonte, MG, Brasil",FOLE PIZZA E VINHO LTDA,Estabelecimento sem nome
336986,5611201.0,24-02-2022,NÃO,"Rua REGULUS, 165, MIRAMAR, Belo Horizonte, MG, Brasil",ELIANA DE SOUZA CAMPOS 03619332665,FLOR DE SAL MARMITARIA
337613,5611201.0,02-03-2022,NÃO,"Avenida RAJA GABAGLIA, 1046, GUTIERREZ, Belo Horizonte, MG, Brasil",ADRIANA DAS GRACAS LOPES SILVA 01493161601,CANTINA DOS AMIGOS DELIVERY
337623,5611201.0,02-03-2022,NÃO,"Rua DIVISA SANTA, 340, MILIONARIOS, Belo Horizonte, MG, Brasil",45.496.550 MARIZA SANTOS NEVES FLORES,G&D SERVICOS
338901,5611201.0,10-03-2022,NÃO,"Rua FEIRA DE SANTANA, 338, RIBEIRO DE ABREU, Belo Horizonte, MG, Brasil",DAVIDSON ERICK NUNES DE OLIVEIRA 11340699605,IMPERIO DO ACAI BURGUER
339200,5611201.0,14-03-2022,SIM,"Rua ASPASIA, 151, JARDIM MONTANHES, Belo Horizonte, MG, Brasil",HME CASA DE CARNES E RESTAURANTE LTDA,Estabelecimento sem nome
339218,5611201.0,14-03-2022,NÃO,"Rua ITAUNINHA, 780, SANTA CRUZ, Belo Horizonte, MG, Brasil",BRUNA GRACIELLE DE SOUZA TEIXEIRA 06000599609,MANA MINEIRO
339842,5611201.0,17-03-2022,NÃO,"Rua GERALDO DE ALMEIDA, 205, MANGUEIRAS, Belo Horizonte, MG, Brasil",45.689.522 GENILDO INACIO DA CRUZ,Estabelecimento sem nome
339843,5611201.0,17-03-2022,NÃO,"Rua ILHEUS, 120, VILA OESTE, Belo Horizonte, MG, Brasil",45.689.369 WILTON FERNANDO LEAL,WIL LEALQ
44221,5611201.0,15-04-2011,NÃO,"Rua CACATUA, 375, FLAVIO MARQUES LISBOA, Belo Horizonte, MG, Brasil",DIEGO CARDOSO ALVES 09067608602,Estabelecimento sem nome
44232,5611201.0,15-04-2011,SIM,"Avenida CARANDAI, 766, SANTA EFIGENIA, Belo Horizonte, MG, Brasil",FERNANDA FERREIRA DOS SANTOS - RESTAURANTE,RESTAURANTE E LANCHONETE SABOR DE MEL
44997,5611201.0,21-05-2011,NÃO,"Avenida FRANCISCO NEGRAO DE LIMA, 780, COPACABANA, Belo Horizonte, MG, Brasil",BRUNO ANTONIO TAVARES 04619905631,Estabelecimento sem nome
43909,5611201.0,01-04-2011,SIM,"Avenida BERNARDO DE VASCONCELOS, 1679, SANTA CRUZ, Belo Horizonte, MG, Brasil",MARIA MARCIA DE ALMEIDA SOARES 81717113672,Estabelecimento sem nome
44508,5611201.0,01-05-2011,NÃO,"Rua WALTER DE SOUZA RIBEIRO, 72, LAGOA, Belo Horizonte, MG, Brasil",13.574.295 MARIA DA CONCEICAO VIEIRA MAGALHAES,Estabelecimento sem nome
44542,5611201.0,03-05-2011,SIM,"Avenida AFONSO PENA, 4020, CRUZEIRO, Belo Horizonte, MG, Brasil",AROMA ALIMENTOS LTDA,AROMA ALIMENTOS
44912,5611201.0,26-09-2012,SIM,"Rua VICENTE VONO, 174, TIROL, Belo Horizonte, MG, Brasil",FOUET SERVICOS DE ALIMENTACAO LTDA,FOUET
44551,5611201.0,03-05-2011,NÃO,"Rua DESEMBARGADOR BRAULIO, 1140, ALTO VERA CRUZ, Belo Horizonte, MG, Brasil",WAGNER LUCIANO NERI 99746344668,Estabelecimento sem nome
45007,5611201.0,19-05-2011,SIM,"Rua ROGERIO LUCIANO, 475, CAMARGOS, Belo Horizonte, MG, Brasil",CHEIRO & SABOR LTDA,TROPEIRO CHEIRO & SABOR
2336,5611201.0,14-09-1994,NÃO,"Avenida PRESIDENTE CARLOS LUZ, 3001, CAICARAS, Belo Horizonte, MG, Brasil",PAM ORGANIZACOES ALIMENTICIAS LTDA,Estabelecimento sem nome
2222,5611201.0,02-04-1994,SIM,"Rua PASSA TEMPO, 62, ANCHIETA, Belo Horizonte, MG, Brasil",RESTAURANTE CORREA & CORREA LTDA,MAGIC COOK
2244,5611201.0,20-04-1995,SIM,"Rua MATIAS CARDOSO, 63, SANTO AGOSTINHO, Belo Horizonte, MG, Brasil",PLANETA SABOR LTDA,Estabelecimento sem nome
2267,5611201.0,01-04-1995,SIM,"Avenida CONSUL ANTONIO CADAR, 122, SAO BENTO, Belo Horizonte, MG, Brasil",RODRIGO FIGUEIREDO BURNI,Estabelecimento sem nome
2268,5611201.0,01-02-2003,SIM,"Avenida CONSUL ANTONIO CADAR, 122, SAO BENTO, Belo Horizonte, MG, Brasil",RODRIGO FIGUEIREDO BURNI,EMPORIO GRILL
83382,5611201.0,09-09-2015,NÃO,"Rua COBRE, 323, CRUZEIRO, Belo Horizonte, MG, Brasil",CS REFEICOES LTDA,CAPIM DA SERRA
84330,5611201.0,28-09-2015,SIM,"Avenida PROFESSOR MARIO WERNECK, 789, ESTORIL, Belo Horizonte, MG, Brasil",SPC ALIMENTOS LTDA,RESTAURANTE ESBORNIA
83415,5611201.0,09-09-2015,NÃO,"Rua MACAE, 765, GRACA, Belo Horizonte, MG, Brasil",ELIZANE DE CASTRO LUIZ 94149968691,Estabelecimento sem nome
83437,5611201.0,10-09-2015,NÃO,"Rua MONTE ALEGRE, 91, SERRA, Belo Horizonte, MG, Brasil",MARIA DAS GRACAS PEREIRA - RESTAURANTE E LANCHONETE,RESTAURANTE E LANCHONETE GIRASSOL
83480,5611201.0,10-09-2015,NÃO,"Avenida PRESIDENTE CARLOS LUZ, 470, CAICARAS, Belo Horizonte, MG, Brasil",WILTON GONCALVES DA SILVA 04028793688,Estabelecimento sem nome
84078,5611201.0,10-04-2023,NÃO,"Rua IZAURA, 77, PIRATININGA, Belo Horizonte, MG, Brasil",23.324.503 REJAINE RODRIGUES NATALINO,Estabelecimento sem nome
84089,5611201.0,22-09-2015,NÃO,"Rua CORONEL EUDOXIO JOVIANO, 12, INDEPENDENCIA, Belo Horizonte, MG, Brasil",VIVIAN DA CONCEICAO INOJOSA 93274416649,Estabelecimento sem nome
83512,5611201.0,11-09-2015,SIM,"Avenida PRUDENTE DE MORAIS, 40, CIDADE JARDIM, Belo Horizonte, MG, Brasil",BAR E RESTAURANTE TUDO LEGAL PRUDENTE LTDA,TUDO LEGAL
84096,5611201.0,22-09-2015,NÃO,"Rua RADIALISTA RENE CHATEAUBRIAND, 63, VILA DOS ANJOS, Belo Horizonte, MG, Brasil",MARIA JOSE DE FATIMA MIRANDA 68000766604,Estabelecimento sem nome
84113,5611201.0,23-09-2015,NÃO,"Rua NIQUELINA, 1137, PARAISO, Belo Horizonte, MG, Brasil",VANDERLEI MARTINS CORREA 08310034725,Estabelecimento sem nome
84114,5611201.0,23-09-2015,SIM,"Rua MONTEIRO LOBATO, 380, OURO PRETO, Belo Horizonte, MG, Brasil",TAIKO SUSHI BAR LTDA,TAIKO SUSHI BAR BH
83598,5611201.0,14-09-2015,SIM,"Rua IZABEL BUENO, 1262, SANTA ROSA, Belo Horizonte, MG, Brasil",LU E VIOLA RESTAURANTE LTDA,RESTAURANTE LU E VIOLA
83606,5611201.0,14-09-2015,SIM,"Rua SAO PAULO, 1984, LOURDES, Belo Horizonte, MG, Brasil",FAMILIA SABOR RESTAURANTE LTDA,OSSO LOURDES
83616,5611201.0,14-09-2015,SIM,"Avenida DO CONTORNO, 8687, GUTIERREZ, Belo Horizonte, MG, Brasil",ALI BA BAR RESTAURANTE E ARMAZEM LTDA,ALI BA BAR E ARMAZEM
83625,5611201.0,14-09-2015,NÃO,"Rua JULIO MESQUITA, 411, MARILANDIA, Belo Horizonte, MG, Brasil",ERIKA SILVA DOS SANTOS 06003756683,Estabelecimento sem nome
84240,5611201.0,24-09-2015,NÃO,"Rua BOQUEIRAO, 66, BETANIA, Belo Horizonte, MG, Brasil",MANOELITA RIBEIRO SANTOS 04257428651,Estabelecimento sem nome
84257,5611201.0,25-09-2015,NÃO,"Rua THEODORO BONFIM, 103, TAQUARIL, Belo Horizonte, MG, Brasil",FLAVIO PEREIRA DOS SANTOS 12405136660,Estabelecimento sem nome
84446,5611201.0,29-09-2015,NÃO,"Rua BOAVENTURA COSTA, 311, BARREIRO, Belo Horizonte, MG, Brasil",23.373.241 ALEXSANDRO ALVES DA SILVA,Estabelecimento sem nome
83342,5611201.0,08-09-2015,SIM,"Avenida SILVIANO BRANDAO, 2533, HORTO, Belo Horizonte, MG, Brasil",LORA BEER LTDA,BAR DA LORA
84519,5611201.0,30-09-2015,SIM,"Rua TOMBADOR, 169, NOVA CINTRA, Belo Horizonte, MG, Brasil",23.381.228 IARA GOMES DE ALMEIDA,Estabelecimento sem nome
83685,5611201.0,15-09-2015,NÃO,"Rua DOS MACARICOS, 45, VILA CLORIS, Belo Horizonte, MG, Brasil",CAETANO MARQUES ABRANTES 05766507658,Estabelecimento sem nome
83695,5611201.0,15-09-2015,NÃO,"Rua ALFREDINA AMARAL, 711, MILIONARIOS, Belo Horizonte, MG, Brasil",BRUNO JOSE DA SILVA 10808840681,Estabelecimento sem nome
84282,5611201.0,25-09-2015,NÃO,"Rua OITOCENTOS E QUARENTA E SETE, 40, DIAMANTE, Belo Horizonte, MG, Brasil",MARIA JOSE LOPES 79177522672,Estabelecimento sem nome
82763,5611201.0,27-08-2015,SIM,"Rua PERNAMBUCO, 1316, SAVASSI, Belo Horizonte, MG, Brasil",INEVITAVEL SABOR BAR E RESTAURANTE LTDA,INEVITAVEL SABOR
82129,5611201.0,17-08-2015,SIM,"Rua PITANGUI, 1701, FLORESTA, Belo Horizonte, MG, Brasil",VICENTE ROCHA DE OLIVEIRA,RESTAURANTE VEREDAO
82826,5611201.0,27-08-2015,NÃO,"Rua AUGUSTO DEGOIS, 12, PONGELUPE, Belo Horizonte, MG, Brasil",WANDERSON FERREIRA CASTRO 03006941640,Estabelecimento sem nome
82827,5611201.0,28-08-2015,NÃO,"Rua TABOAO DA SERRA, 39, ITAIPU, Belo Horizonte, MG, Brasil",GRAZIELE HONORATO WATANABE 01292636645,Estabelecimento sem nome
82146,5611201.0,17-08-2015,SIM,"Rua JOSE NICODEMOS, 260, SANTA CRUZ, Belo Horizonte, MG, Brasil",RONNEY VIANA LACERDA,ADEGA & CIA
82169,5611201.0,17-08-2015,NÃO,"Rua TAPAIARAS, 225, ARAGUAIA, Belo Horizonte, MG, Brasil",JAQUELINE DE SOUZA ADRIANO 04615716680,Estabelecimento sem nome
82524,5611201.0,24-08-2015,NÃO,"Avenida ELIAS ANTONIO ISSA, 892, LETICIA, Belo Horizonte, MG, Brasil",WANDERSON VARGAS SANCORE DO NASCIMENTO 05638254641,Estabelecimento sem nome
82894,5611201.0,29-08-2015,NÃO,"Rua SABINOPOLIS, 495, SANTO ANDRE, Belo Horizonte, MG, Brasil",ADRIANA TRINDADE PEREIRA 04624218647,Estabelecimento sem nome
82898,5611201.0,29-08-2015,NÃO,"Rua MANOEL PEDRO DA COSTA, 37, JARDIM FELICIDADE, Belo Horizonte, MG, Brasil",23.174.450 ROSELINE ROSA MATTOS MOREIRA,Estabelecimento sem nome
82931,5611201.0,31-08-2015,SIM,"Rua DIAS ADORNO, 266, SANTO AGOSTINHO, Belo Horizonte, MG, Brasil",JESSICA ANGELICA GARCIA RIBEIRO,CANTINA DO CHICO
83308,5611201.0,08-09-2015,SIM,"Rua ELI SEABRA FILHO, 510, BURITIS, Belo Horizonte, MG, Brasil",SOARES ALIMENTOS DE QUALIDADE LTDA,SOARES ALIMENTOS DE QUALIDADE EIRELI
82290,5611201.0,19-08-2015,SIM,"Rua CONDE DE LINHARES, 538, CIDADE JARDIM, Belo Horizonte, MG, Brasil",RESTAURANTE DINIZ LTDA,RESTAURANTE DINIZ
82616,5611201.0,25-08-2015,NÃO,"Rua GUARDA CUSTODIO, 280, OURO PRETO, Belo Horizonte, MG, Brasil",23.143.882 DANIEL DE SOUZA MACHADO,Estabelecimento sem nome
82310,5611201.0,19-08-2015,NÃO,"Rua NICIAS CONTINENTINO, 944, NOVA GAMELEIRA, Belo Horizonte, MG, Brasil",REGINALDO VIANA CALDEIRA JUNIOR 12830815637,Estabelecimento sem nome
83250,5611201.0,04-09-2015,NÃO,"Rua TENENTE HELIM, 30, SANTA CRUZ, Belo Horizonte, MG, Brasil",JAQUELINE AMARAL PADILHA 81401540678,Estabelecimento sem nome
83256,5611201.0,04-09-2015,NÃO,"Rua MARIA SYLLENE ANDREAZZI, 197, GLORIA, Belo Horizonte, MG, Brasil",EDSON FERREIRA DA SILVA 01339938685,Estabelecimento sem nome
83267,5611201.0,04-09-2015,NÃO,"Rua BORBA GATO, 76, LAGOINHA, Belo Horizonte, MG, Brasil",ANA MARIA GARCIA 12541896611,Estabelecimento sem nome
82333,5611201.0,19-08-2015,NÃO,"Rua DA BAHIA, 1148, CENTRO, Belo Horizonte, MG, Brasil",DIOGO SOUZA BRANT CALDEIRA 01498560679,Estabelecimento sem nome
83003,5611201.0,01-09-2015,NÃO,"Rua BONFIM, 818, BONFIM, Belo Horizonte, MG, Brasil",NEUSA VIEIRA DOS SANTOS,RESTAURANTE NEUSA
83082,5611201.0,02-09-2015,NÃO,"Rua LAJEDO, 182, SAO GABRIEL, Belo Horizonte, MG, Brasil",TROPEIRAO BAR E RESTAURANTE LTDA,TROPEIRO DO NEYLON
82732,5611201.0,26-08-2015,NÃO,"Rua DONA MARIA SENHORA, 99, DIAMANTE, Belo Horizonte, MG, Brasil",23.155.689 ARILMA CAETANO DE ARAUJO,Estabelecimento sem nome
82751,5611201.0,27-08-2015,NÃO,"Avenida DOM JOSE GASPAR, 945, CORACAO EUCARISTICO, Belo Horizonte, MG, Brasil",SUSHI JAPA COREU LTDA,SUSHIJAPA
154099,5611201.0,10-02-2017,SIM,"Rua SAPUCAI, 285, FLORESTA, Belo Horizonte, MG, Brasil",FDP BURGUERIA LTDA.,LUPITA CLUB
475476,5611201.0,22-07-2024,SIM,"Avenida ARTUR GUIMARAES, 955, SANTA CRUZ, Belo Horizonte, MG, Brasil",56.036.426 MANOEL SANTOS SOARES,Estabelecimento sem nome
476131,5611201.0,25-07-2024,NÃO,"Avenida PERIMETRAL, 211, CASTANHEIRA, Belo Horizonte, MG, Brasil",56.083.994 PABLO JANUARIO SILVA CAMPOS,Estabelecimento sem nome
478105,5611201.0,03-08-2024,NÃO,"Avenida WALDYR SOEIRO EMRICH, 5187, CASTANHEIRA, Belo Horizonte, MG, Brasil",56.252.624 POLIANA INGRID RIBEIRO CAETANO,Estabelecimento sem nome
478106,5611201.0,03-08-2024,NÃO,"Rua GUINALDO NICOLAEVSCKY, 168, NOVO AARAO REIS, Belo Horizonte, MG, Brasil",56.252.742 KESIA SUELLEN DE PAULA ALCANTARA,Estabelecimento sem nome
474192,5611201.0,16-07-2024,SIM,"Rua JOSE DE LIMA, 20, FLORAMAR, Belo Horizonte, MG, Brasil",55.951.356 ROSEMARY APARECIDA ALVES REIS,Estabelecimento sem nome
476798,5611201.0,29-07-2024,NÃO,"Rua ALAIR PEREIRA DA SILVA, 190, CONJUNTO TAQUARIL, Belo Horizonte, MG, Brasil",56.140.330 JULIENE SOARES VIANA,Estabelecimento sem nome
477141,5611201.0,31-07-2024,NÃO,"Rua BANDOLIM, 73, SANTANA DO CAFEZAL, Belo Horizonte, MG, Brasil",56.170.278 LISANDRA XAVIER DA SILVA,Estabelecimento sem nome
477782,5611201.0,02-08-2024,NÃO,"Avenida MENELICK DE CARVALHO, 186, FLAVIO MARQUES LISBOA, Belo Horizonte, MG, Brasil",56.221.557 ANDERSON GABRIEL SOUZA SANTOS,Estabelecimento sem nome
478127,5611201.0,04-08-2024,NÃO,"Rua DA BAHIA, 1291, LOURDES, Belo Horizonte, MG, Brasil",56.254.586 MARIA RAIMUNDA VIANA,Estabelecimento sem nome
475837,5611201.0,24-07-2024,NÃO,"Avenida DOM JOAO VI, 1780, PALMEIRAS, Belo Horizonte, MG, Brasil",56.059.739 VALCI MENDES DOS SANTOS,Estabelecimento sem nome
478146,5611201.0,04-08-2024,NÃO,"Rua PARNAIBA, 40, SAO GONCALO, Belo Horizonte, MG, Brasil",56.257.360 FLAVIA DE OLIVEIRA TOMAZ DOS SANTOS,Estabelecimento sem nome
478470,5611201.0,06-08-2024,NÃO,"Rua DELFIM, 11, MIRAMAR, Belo Horizonte, MG, Brasil",56.299.686 RONAN RODRIGUES REZENDE,Estabelecimento sem nome
478821,5611201.0,07-08-2024,SIM,"Rua CONTAGEM, 916, NOVA VISTA, Belo Horizonte, MG, Brasil",KAROL GELATOS EMPREENDIMENTOS LTDA,Estabelecimento sem nome
479098,5611201.0,08-08-2024,NÃO,"Rua DA AGUA, 203, MARCOLA, Belo Horizonte, MG, Brasil",RESTAURANTE DO IZAIAS LTDA,RESTAURANTE DO IZAIAS
476182,5611201.0,25-07-2024,SIM,"Rua ALBERTO CINTRA, 35, UNIAO, Belo Horizonte, MG, Brasil",RECANTO DA TRAIRA BAR E RESTAURANTE LTDA,RECANTO DA TRAIRA
476183,5611201.0,25-07-2024,SIM,"Rua LEONIL PRATA, 579, ALIPIO DE MELO, Belo Horizonte, MG, Brasil",ARTESANATO DA PIZZA LTDA,ARTESANATO DA PIZZA
478160,5611201.0,05-08-2024,NÃO,"Rua PADRE EUSTAQUIO, 2027, PADRE EUSTAQUIO, Belo Horizonte, MG, Brasil",CABANA 18 DELIVERY LTDA,CABANA 18
475886,5611201.0,24-07-2024,NÃO,"Rua JOSE BARBOSA FERNANDES, 205, VILA NOVA, Belo Horizonte, MG, Brasil",56.062.727 RENATA INACIO MOREIRA,Estabelecimento sem nome
477860,5611201.0,02-08-2024,NÃO,"Avenida DEPUTADO CRISTOVAM CHIARADIA, 412, BURITIS, Belo Horizonte, MG, Brasil",56.224.695 GABRIEL MALARD SALES MESQUITA,Estabelecimento sem nome
478506,5611201.0,06-08-2024,SIM,"Rua URSULA PAULINO, 1321, ESTRELA DO ORIENTE, Belo Horizonte, MG, Brasil",CONCEITO DE MINAS RESTAURANTE E LANCHONETE LTDA,CONCEITO DE MINAS
474595,5611201.0,17-07-2024,NÃO,"Rua JACQUES LUCIANO, 308, SAGRADA FAMILIA, Belo Horizonte, MG, Brasil",55.977.558 MARCELO GIORIO DOS SANTOS JUNIOR,Estabelecimento sem nome
474916,5611201.0,18-07-2024,SIM,"Rua SAO MATIAS, 142, SERRANO, Belo Horizonte, MG, Brasil",31.754.338 ANGELA ALVES TAMEIRAO,Estabelecimento sem nome
476239,5611201.0,25-07-2024,NÃO,"Rua BOAVENTURA COSTA, 335, BARREIRO, Belo Horizonte, MG, Brasil",56.092.863 ARTUR MARENT DUARTE DA CONCEICAO,Estabelecimento sem nome
477208,5611201.0,31-07-2024,SIM,"Avenida SIGMUND WEISS, 80, PILAR, Belo Horizonte, MG, Brasil",RESTAURANTE E PIZZARIA PRATA E OURO LTDA,Estabelecimento sem nome
477216,5611201.0,31-07-2024,SIM,"Rua ARAGUARI, 525, BARRO PRETO, Belo Horizonte, MG, Brasil",SAU CULINARIA LTDA,SAU CULINARIA
477221,5611201.0,31-07-2024,NÃO,"Rua DEPUTADO RAIMUNDO ALBERGARIA, 100, XODO MARIZE, Belo Horizonte, MG, Brasil",56.174.812 WILLIAN CARVALHO COSTA,Estabelecimento sem nome
477882,5611201.0,02-08-2024,NÃO,"Rua GONCALVES DIAS, 1581, LOURDES, Belo Horizonte, MG, Brasil",56.225.810 GLAUCIA AQUINO PALHARES,Estabelecimento sem nome
478202,5611201.0,05-08-2024,NÃO,"Rua DOMINGOS VIEIRA, 497, SANTA EFIGENIA, Belo Horizonte, MG, Brasil",RESTAURANTE E LANCHONETE SABOR DO DIA LTDA,Estabelecimento sem nome
478204,5611201.0,05-08-2024,NÃO,"Rua NORMA GUILHERMINA DA SILVA, 334, JARDIM GUANABARA, Belo Horizonte, MG, Brasil",56.261.007 MARIA DE FATIMA RESENDE GUIMARAES,Estabelecimento sem nome
478213,5611201.0,05-08-2024,SIM,"Rua BOLIVAR MINEIRO, 38, DONA CLARA, Belo Horizonte, MG, Brasil",MAROCAS MERCEARIA E DISTRIBUIDORA DE BEBIDAS LTDA,Estabelecimento sem nome
478519,5611201.0,06-08-2024,NÃO,"Rua FRANCISCO RODRIGUES DE MIRANDA, 51, DOM JOAQUIM, Belo Horizonte, MG, Brasil",SO COMBOS COMERCIO LTDA,SO COMBOS
478530,5611201.0,06-08-2024,NÃO,"Rua FRANCISCO RODRIGUES DE MIRANDA, 51, DOM JOAQUIM, Belo Horizonte, MG, Brasil",NEW SUSHI COMERCIO LTDA,NEW SUSHI
479171,5611201.0,08-08-2024,NÃO,"Rua NOVA REPUBLICA, 126, CEU AZUL, Belo Horizonte, MG, Brasil",56.391.031 JULIA RIBEIRO DE LIMA,Estabelecimento sem nome
474611,5611201.0,17-07-2024,SIM,"Rua CORONEL JAIRO PEREIRA, 463, PALMARES, Belo Horizonte, MG, Brasil",ESPETTUS MINAS PALMARES LTDA,ESPETTU'S PALMARES
474947,5611201.0,18-07-2024,NÃO,"Rua CIPRIANO BARATA, 102, CAMPO ALEGRE, Belo Horizonte, MG, Brasil",55.995.711 VALERIA FERREIRA GOMES,Estabelecimento sem nome
475602,5611201.0,23-07-2024,NÃO,"Rua GENERAL ARANHA, 196, AEROPORTO, Belo Horizonte, MG, Brasil",BUFFET FAST POINT LTDA,VISTORIA TOLEDO
476571,5611201.0,29-07-2024,SIM,"Avenida JOAQUIM JOSE DINIZ, 202, DOM JOAQUIM, Belo Horizonte, MG, Brasil",DENVER EMPREENDIMENTO GASTRONOMICO LTDA,DENVER STEAK HOUSE
477555,5611201.0,01-08-2024,SIM,"Rua EXPEDICIONARIO CELSO RACIOPPI, 125, SAO LUIZ, Belo Horizonte, MG, Brasil",BAR E RESTAURANTE MANJAR DOS DEUSES LTDA,BAR E RESTAURANTE MANJAR DOS DEUSES
477895,5611201.0,02-08-2024,NÃO,"Avenida SARAMENHA, 1227, TUPI B, Belo Horizonte, MG, Brasil",56.226.417 KEIFISON DE SOUSA SILVA,Estabelecimento sem nome
478557,5611201.0,06-08-2024,SIM,"Rua DOS TUPIS, 899, CENTRO, Belo Horizonte, MG, Brasil",56.303.851 ROBERTA DE PAULA FERNANDES,Estabelecimento sem nome
475942,5611201.0,24-07-2024,SIM,"Avenida OLINTO MEIRELES, 2697, ARAGUAIA, Belo Horizonte, MG, Brasil",FAMOSINHA STORE,FAMOSINHA STORE
477585,5611201.0,01-08-2024,NÃO,"Rua JOSE FELIX MARTINS, 2165, MANTIQUEIRA, Belo Horizonte, MG, Brasil",56.201.153 HEVERTON MARQUES DOS SANTOS,Estabelecimento sem nome
478577,5611201.0,06-08-2024,SIM,"Avenida DO CONTORNO, 7287, SANTO ANTONIO, Belo Horizonte, MG, Brasil",SHELF SERVICOS DE ENTRETENIMENTO LTDA,SHELF SERVICOS DE ENTRETENIMENTO
124510,5611201.0,25-06-1990,SIM,"Rua FREDERICO KNIPP, 108, VENDA NOVA, Belo Horizonte, MG, Brasil",COMERCIAL SANSON LTDA,RESTAURANTE DO OSWALDO
124853,5611201.0,06-10-2004,SIM,"Avenida CRISTIANO MACHADO, 2450, CIDADE NOVA, Belo Horizonte, MG, Brasil",CIDADE NOVA POINT COMERCIO DE ALIMENTOS LTDA,Estabelecimento sem nome
125481,5611201.0,01-07-2005,NÃO,"Avenida BARAO HOMEM DE MELO, 2018, JARDIM AMERICA, Belo Horizonte, MG, Brasil",CONVERSA AFIADA BAR E RESTAURANTE LTDA,Estabelecimento sem nome
124883,5611201.0,24-11-1993,SIM,"Rua ALVARENGA PEIXOTO, 1132, SANTO AGOSTINHO, Belo Horizonte, MG, Brasil",CLAUDIA BAR LTDA,Estabelecimento sem nome
124540,5611201.0,22-05-1991,SIM,"Avenida DOM PEDRO I, 3100, PLANALTO, Belo Horizonte, MG, Brasil",LANCHONETE ALEX PETER LTDA,Estabelecimento sem nome
124544,5611201.0,01-10-1991,NÃO,"Rua VIOLETA DE MELO, 138, ALIPIO DE MELO, Belo Horizonte, MG, Brasil",VENICIO ALVES,MADEIREIRA ALVES
125184,5611201.0,18-09-1999,SIM,"Rua EDGARD TORRES, 767, MINASCAIXA, Belo Horizonte, MG, Brasil",EMPORIO MINAS CAIXA LTDA,Estabelecimento sem nome
105850,5611201.0,24-11-2016,NÃO,"Rua WALDOMIRO LOBO, 291, AARAO REIS, Belo Horizonte, MG, Brasil",HELBERT DOMINGUES CLAUDIO,HELBERT DOMINGUES CLAUDIO
105864,5611201.0,24-11-2016,SIM,"Rua CHAPECO, 403, PRADO, Belo Horizonte, MG, Brasil",MAX VILHENA VIANA 56386257634,MINEIRO TROPEIRO
105869,5611201.0,24-11-2016,NÃO,"Rua ANIRY, 15, GUARANI, Belo Horizonte, MG, Brasil",JRC PIZZARIA E CHURRASCARIA LTDA,BUTECO DO VAVA
105558,5611201.0,18-11-2016,SIM,"Rua CAPIM BRANCO, 588, VISTA ALEGRE, Belo Horizonte, MG, Brasil",PIZZA DO BARULHO LTDA,PIZZA DO BARULHO
105881,5611201.0,24-11-2016,NÃO,"Rua MAFRA, 301, NOVO GLORIA, Belo Horizonte, MG, Brasil",CANTINHO DO LOPES LTDA,DEGUST RESTAURANTE E LANCHONETE
105888,5611201.0,24-11-2016,NÃO,"Rua AMARAJI, 331, SAO GABRIEL, Belo Horizonte, MG, Brasil",HUGO VINICIUS DE OLIVEIRA IMAR 04440154697,IMAR E FILHOS
106234,5611201.0,01-12-2016,SIM,"Avenida PARANA, 64, CENTRO, Belo Horizonte, MG, Brasil",RESTAURANTE LANCHONETE E BARZINHO AQUINO'S LTDA,AQUINOS PARANA
106252,5611201.0,01-12-2016,NÃO,"Avenida ALFREDO CAMARATE, 22, SAO LUIZ, Belo Horizonte, MG, Brasil",ALQUIMIA DOS SABORES LTDA,ALQUIMIA DOS SABORES
105918,5611201.0,25-11-2016,NÃO,"Rua FREDERICO BRACHER JUNIOR, 267, CARLOS PRATES, Belo Horizonte, MG, Brasil",WALDETE AUGUSTA PEREIRA DA SILVA 68837763620,Estabelecimento sem nome
105923,5611201.0,25-11-2016,NÃO,"Rua BERNARDINO OLIVEIRA PENA, 240, SAO JOAO BATISTA, Belo Horizonte, MG, Brasil",ANNE MICHAELLA DUFFOR SILVA 11193124697,PIMENTINHA'S BAR E RESTAURANTE
106276,5611201.0,01-12-2016,NÃO,"Rua JUIZ DE FORA, 1470, SANTO AGOSTINHO, Belo Horizonte, MG, Brasil",CATON'S BURGER LTDA,CATON'S BURGER
105614,5611201.0,21-11-2016,NÃO,"Avenida CATULO DA PAIXAO CEARENSE, 370, BAIRRO DAS INDUSTRIAS I, Belo Horizonte, MG, Brasil",MARCOS HENRIQUE RAMOS SILVA 09545734639,FUSSASOM
